Metabolomics_HMDB0000207	Metabolomics_HMDB0000273	Metabolomics_HMDB0000573	Metabolomics_HMDB0000673	Metabolomics_HMDB0003911	Proteomics_WP_000606549.1	Proteomics_WP_000702263.1	Proteomics_WP_000794647.1	Proteomics_WP_001126602.1	Proteomics_WP_001165363.1	RNA_Seq_EW029_RS00795	RNA_Seq_EW029_RS05910	RNA_Seq_EW029_RS11320	RNA_Seq_EW029_RS11425	RNA_Seq_EW029_RS13620
Metabolomics_HMDB0000207	0.995373322053748	0.994584948318181	0.995011669537901	0.994486736315062	0.994412808322922	-0.98851744518068	0.983836197481796	0.992089516466303	-0.990705634421091	-0.993472519433618	-0.986781281854166	0.976622894114281	0.983219654726223	0.98281576187484	0.9855473258891
Metabolomics_HMDB0000273	0.994584948318181	0.993797199004761	0.994223582244957	0.993699064789304	0.993625195350961	-0.987734501561775	0.983056961590086	0.991303743630339	-0.989920957672628	-0.992685651206415	-0.98599971334301	0.975849371434685	0.982440907159953	0.982037334207154	0.984766734718256
Metabolomics_HMDB0000573	0.995011669537901	0.994223582244957	0.994650148422545	0.994125405925553	0.994051504793932	-0.988158283634869	0.983478736790298	0.991729057067176	-0.99034567783273	-0.993111557543122	-0.986422751114728	0.976268054257853	0.982862418045389	0.982458671941826	0.985189243487255
Metabolomics_HMDB0000673	0.994486736315062	0.993699064789304	0.994125405925553	0.993600940264279	0.993527078120301	-0.987636966017816	0.982959887937864	0.991205855635426	-0.989823206223295	-0.99258762675266	-0.985902349103699	0.975753009508363	0.982343894341087	0.981940361239793	0.984669492231543
Metabolomics_HMDB0003911	0.994412808322922	0.993625195350961	0.994051504793932	0.993527078120301	0.993453221467075	-0.987563547222779	0.982886816826692	0.991132171536857	-0.989749624907892	-0.992513839936215	-0.98582905925633	0.975680474140938	0.982270869021545	0.981867365918029	0.984596294032086
Proteomics_WP_000606549.1	-0.98851744518068	-0.987734501561775	-0.988158283634869	-0.987636966017816	-0.987563547222779	0.981708789834107	-0.977059785372131	-0.98525625760628	0.983881907386664	0.986629734802863	0.979984584756558	-0.969896165393391	-0.976447489205377	-0.976046378264657	-0.978759127964591
Proteomics_WP_000702263.1	0.983836197481796	0.983056961590086	0.983478736790298	0.982959887937864	0.982886816826692	-0.977059785372131	0.972432796850841	0.980590453668053	-0.979222611855379	-0.981957426592002	-0.975343745482856	0.965303101088315	0.971823400288981	0.971424188859167	0.974124091994428
Proteomics_WP_000794647.1	0.992089516466303	0.991303743630339	0.991729057067176	0.991205855635426	0.991132171536857	-0.98525625760628	0.980590453668053	0.98881654438112	-0.987437227858704	-0.990194984725778	-0.983525822002929	0.973400947488363	0.979975944929769	0.979573384548899	0.982295936944128
Proteomics_WP_001126602.1	-0.990705634421091	-0.989920957672628	-0.99034567783273	-0.989823206223295	-0.989749624907892	0.983881907386664	-0.979222611855379	-0.987437227858704	0.986059835367677	0.988813745394168	0.982153885596505	-0.972043134436554	-0.978608960305479	-0.978206961462731	-0.980925716124676
Proteomics_WP_001165363.1	-0.993472519433618	-0.992685651206415	-0.993111557543122	-0.99258762675266	-0.992513839936215	0.986629734802863	-0.981957426592002	-0.990194984725778	0.988813745394168	0.991575346658211	0.984896886919637	-0.974757898021979	-0.981342061209842	-0.980938939647555	-0.983665287363648
RNA_Seq_EW029_RS00795	-0.986781281854166	-0.98599971334301	-0.986422751114728	-0.985902349103699	-0.98582905925633	0.979984584756558	-0.975343745482856	-0.983525822002929	0.982153885596505	0.984896886919637	0.978263407952953	-0.968192707188286	-0.974732524710527	-0.974332118253181	-0.977040103468112
RNA_Seq_EW029_RS05910	0.976622894114281	0.975849371434685	0.976268054257853	0.975753009508363	0.975680474140938	-0.969896165393391	0.965303101088315	0.973400947488363	-0.972043134436554	-0.974757898021979	-0.968192707188286	0.958225678924365	0.964698172508302	0.964301888022179	0.966981995971588
RNA_Seq_EW029_RS11320	0.983219654726223	0.982440907159953	0.982862418045389	0.982343894341087	0.982270869021545	-0.976447489205377	0.971823400288981	0.979975944929769	-0.978608960305479	-0.981342061209842	-0.974732524710527	0.964698172508302	0.97121438561898	0.970815424363856	0.973513635544986
RNA_Seq_EW029_RS11425	0.98281576187484	0.982037334207154	0.982458671941826	0.981940361239793	0.981867365918029	-0.976046378264657	0.971424188859167	0.979573384548899	-0.978206961462731	-0.980938939647555	-0.974332118253181	0.964301888022179	0.970815424363856	0.970416626996422	0.973113729790222
RNA_Seq_EW029_RS13620	0.9855473258891	0.984766734718256	0.985189243487255	0.984669492231543	0.984596294032086	-0.978759127964591	0.974124091994428	0.982295936944128	-0.980925716124676	-0.983665287363648	-0.977040103468112	0.966981995971588	0.973513635544986	0.973113729790222	0.975818328708139
